coin,initial_buy_price,initial_buy_cost,rebought_at,rebuy_cost,gained,total_initial_buy_cost,total_rebuy_cost
ZENUSDT,94.79,0.09479,94.77,0.09477,0.29123999999998773,94.88479000000001,94.86477
FORTHUSDT,15.43,0.01543,15.42,0.01542,0.1181000000000001,15.44543,15.43542
ICXUSDT,1.898,0.001898,1.897,0.001897,0.020379999999999843,1.8998979999999999,1.898897
LUNAUSDT,35.66,0.03566,35.66,0.03566,0.23732000000001108,35.69566,35.69566
TRXUPUSDT,0.45275,0.00045275,0.45181,0.00045180999999999997,0.010063519999999992,0.45320275,0.45226181
ERNUSDT,13.809,0.013809,13.804,0.013804,0.20901300000000056,13.822809,13.817804
CLVUSDT,1.342,0.001342,1.341,0.001341,0.04820700000000011,1.343342,1.342341
ANTUSDT,6.494,0.006494,6.471,0.006471,0.06094799999999978,6.500494,6.477471
XTZUSDT,6.421,0.006421,6.421,0.0064210000000000005,0.06367800000000035,6.427421,6.427421
BADGERUSDT,22.26,0.02226,22.22,0.02222,0.12799999999998946,22.28226,22.24222
IDEXUSDT,0.44416,0.00044416,0.443,0.00044300000000000003,0.010939840000000034,0.44460416,0.44344300000000003
ANTUSDT,6.494,0.006494,6.494,0.006494,0.07098299999999913,6.500494,6.500494
QUICKUSDT,472.6,0.4726,471.8,0.4718,0.05380000000002383,473.0726,472.2718
LUNAUSDT,35.66,0.03566,35.63,0.03563,0.2559100000000143,35.69566,35.66563
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.14674999999999905,13.59358,13.59358
XTZUSDT,6.421,0.006421,6.418,0.006418,0.07481200000000054,6.427421,6.424418
QUICKUSDT,472.6,0.4726,472.5,0.47250000000000003,1.1082000000000107,473.0726,472.9725
XTZDOWNUSDT,5.151,0.005151,5.146,0.005146,0.04002700000000026,5.1561509999999995,5.151146
WNXMUSDT,73.0,0.073,72.8,0.0728,0.8094599999999872,73.073,72.8728
WNXMUSDT,73.0,0.073,73.0,0.073,0.8636599999999959,73.073,73.073
QUICKUSDT,472.6,0.4726,472.0,0.47200000000000003,1.1621999999999844,473.0726,472.472
EPSUSDT,0.6682,0.0006682,0.6647,0.0006647,0.010251999999999928,0.6688682,0.6653646999999999
PNTUSDT,1.1578,0.0011578,1.1571,0.0011571,0.017864199999999997,1.1589578,1.1582571
TORNUSDT,68.73,0.06873,68.66,0.06866,0.02237999999999829,68.79873,68.72865999999999
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.17952999999999975,13.59358,13.59358
NEARUSDT,8.96,0.00896,8.96,0.008960000000000001,0.05323499999999903,8.968960000000001,8.968960000000001
FTMUSDT,1.3272,0.0013272,1.3253,0.0013253,0.021567300000000067,1.3285272,1.3266253
NEARUSDT,8.96,0.00896,8.958,0.008958,0.0652849999999976,8.968960000000001,8.966958
ATMUSDT,15.49,0.01549,15.48,0.01548,0.018969999999999487,15.50549,15.49548
MASKUSDT,11.664,0.011664,11.657,0.011657,0.210429999999997,11.675664,11.668657
MASKUSDT,11.664,0.011664,11.662,0.011662,0.22307999999999595,11.675664,11.673662
AVAXUSDT,70.29,0.07029,70.29,0.07029,0.12914999999999566,70.36029,70.36029
MTLUSDT,3.684,0.003684,3.684,0.003684,0.030221000000000053,3.687684,3.687684
